id|fuente|fecha_creacion|id_autor|sensible|idioma|cant_retweets|cant_respuestas|cant_likes
1466890310512889862|Twitter for iPhone|2021-12-03 22:01:18+00:00|1058775916111835136|False|es|0|2|0
1466890304397758468|Twitter for Android|2021-12-03 22:01:16+00:00|3940385620|False|es|0|0|0
1466890301197504516|Twitter Web App|2021-12-03 22:01:15+00:00|53966275|False|es|326|0|0
1466890293601517575|Twitter for Android|2021-12-03 22:01:14+00:00|1358455197991845888|False|es|244|0|0
1466890290766176266|Twitter for iPhone|2021-12-03 22:01:13+00:00|1561374206|False|tr|0|1|0
1466890284185309188|Twitter for Android|2021-12-03 22:01:11+00:00|1427082886012882946|False|es|825|0|0
1466890282608119811|Twitter for Android|2021-12-03 22:01:11+00:00|2942984277|False|es|10639|0|0
1466890269241004032|Twitter for Android|2021-12-03 22:01:08+00:00|1305179294025613312|False|tr|0|0|1
1466890253856391171|Twitter for Android|2021-12-03 22:01:04+00:00|475379822|False|es|35|0|0
1466890251595653131|Twitter for Android|2021-12-03 22:01:04+00:00|1253047173949898752|False|es|0|1|0
1466890248940630016|Twitter for Android|2021-12-03 22:01:03+00:00|917237154|False|es|1|0|0
1466890248793772039|Twitter for Android|2021-12-03 22:01:03+00:00|2983910980|False|es|0|1|1
1466890245648101397|Twitter for Android|2021-12-03 22:01:02+00:00|1384219693364350980|False|es|1|0|0
1466890244263800838|Twitter for Android|2021-12-03 22:01:02+00:00|1413309951271870468|False|es|0|0|0
1466890241067962372|Twitter for Android|2021-12-03 22:01:01+00:00|1407844555181993988|False|es|1899|0|0
1466890240581586944|Twitter Web App|2021-12-03 22:01:01+00:00|2950037710|False|es|22|0|0
1466890239323082762|Twitter for Android|2021-12-03 22:01:01+00:00|917727632837480448|False|es|39|0|0
1466890237477638149|Twitter for Android|2021-12-03 22:01:00+00:00|1249057191371386886|False|es|0|0|0
1466890234847805445|Echobox|2021-12-03 22:01:00+00:00|7996522|False|es|1|1|22
1466890229986443267|Twitter for Android|2021-12-03 22:00:58+00:00|3223650062|False|es|1|0|0
1466890229890142221|Twitter Web App|2021-12-03 22:00:58+00:00|2419461476|False|es|81|0|0
1466890228774457347|Echobox|2021-12-03 22:00:58+00:00|957562542|False|es|0|0|1
1466890221446963204|Twitter Web App|2021-12-03 22:00:56+00:00|123952247|False|es|0|1|0
1466890218003443716|Twitter Web App|2021-12-03 22:00:56+00:00|1311308845176762368|False|es|1|0|0
1466890193387110409|Twitter for Android|2021-12-03 22:00:50+00:00|948751118015893504|False|es|7|0|0
1466890189603749892|Twitter for Android|2021-12-03 22:00:49+00:00|249741154|False|es|702|0|0
1466890188186132488|Twitter Web App|2021-12-03 22:00:49+00:00|1427733144191606785|False|es|86|0|0
1466890187242360883|Twitter for iPhone|2021-12-03 22:00:48+00:00|931005222696177664|False|es|326|0|0
1466890186722361346|Twitter for Android|2021-12-03 22:00:48+00:00|2914445609|False|tr|0|0|0
1466890174458122240|Twitter for iPhone|2021-12-03 22:00:45+00:00|871567702044921856|False|es|95|0|0
1466890173690560527|Twitter Web App|2021-12-03 22:00:45+00:00|53738889|False|es|3|0|0
1466890172486893570|Twitter for Android|2021-12-03 22:00:45+00:00|3133197348|False|es|18|0|0
1466890164349947917|Twitter for Android|2021-12-03 22:00:43+00:00|788882545677041672|False|es|1|0|0
1466890153318748162|Twitter for Android|2021-12-03 22:00:40+00:00|801364461361790976|False|es|8|0|0
1466890152136032266|Twitter for iPhone|2021-12-03 22:00:40+00:00|1206788180|False|es|1899|0|0
1466890149560733696|Twitter for Android|2021-12-03 22:00:39+00:00|563647263|False|es|105|0|0
1466890147283226626|Twitter for Android|2021-12-03 22:00:39+00:00|1202531390|False|es|771|0|0
